pair_index,timestamp,match_status,time_difference_minutes,distance_km,variable,era5_value,open-meteo_value,absolute_difference,percent_difference,agreement_flag
16789,2025-11-30T13:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16789,2025-11-30T13:00:00Z,MATCHED,0.0,1.808,wind_speed,2.291,1.53,0.761,33.217,SOURCE_DISAGREEMENT
16790,2025-11-30T14:00:00Z,MATCHED,0.0,1.808,temperature,20.622,19.3,1.322,6.411,SOURCE_AGREEMENT_MEDIUM
16790,2025-11-30T14:00:00Z,MATCHED,0.0,1.808,pressure,1015.408,970.1,45.308,4.462,SOURCE_AGREEMENT_HIGH
16790,2025-11-30T14:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16790,2025-11-30T14:00:00Z,MATCHED,0.0,1.808,wind_speed,2.258,2.43,0.172,7.078,SOURCE_AGREEMENT_MEDIUM
16791,2025-11-30T15:00:00Z,MATCHED,0.0,1.808,temperature,17.187,18.3,1.113,6.082,SOURCE_AGREEMENT_MEDIUM
16791,2025-11-30T15:00:00Z,MATCHED,0.0,1.808,pressure,1015.849,970.5,45.349,4.464,SOURCE_AGREEMENT_HIGH
16791,2025-11-30T15:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16791,2025-11-30T15:00:00Z,MATCHED,0.0,1.808,wind_speed,2.262,1.59,0.672,29.708,SOURCE_DISAGREEMENT
16792,2025-11-30T16:00:00Z,MATCHED,0.0,1.808,temperature,17.162,16.5,0.662,3.857,SOURCE_AGREEMENT_HIGH
16792,2025-11-30T16:00:00Z,MATCHED,0.0,1.808,pressure,1016.027,970.3,45.727,4.501,SOURCE_AGREEMENT_HIGH
16792,2025-11-30T16:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16792,2025-11-30T16:00:00Z,MATCHED,0.0,1.808,wind_speed,2.308,1.25,1.058,45.841,SOURCE_DISAGREEMENT
16793,2025-11-30T17:00:00Z,MATCHED,0.0,1.808,temperature,15.837,15.5,0.337,2.128,SOURCE_AGREEMENT_HIGH
16793,2025-11-30T17:00:00Z,MATCHED,0.0,1.808,pressure,1016.106,970.3,45.806,4.508,SOURCE_AGREEMENT_HIGH
16793,2025-11-30T17:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16793,2025-11-30T17:00:00Z,MATCHED,0.0,1.808,wind_speed,2.377,1.28,1.097,46.151,SOURCE_DISAGREEMENT
16794,2025-11-30T18:00:00Z,MATCHED,0.0,1.808,temperature,15.233,15.6,0.367,2.353,SOURCE_AGREEMENT_HIGH
16794,2025-11-30T18:00:00Z,MATCHED,0.0,1.808,pressure,1015.592,970.2,45.392,4.47,SOURCE_AGREEMENT_HIGH
16794,2025-11-30T18:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
